"08121: Balance sheet for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Intangible fixed assets (NOK million),43306,351426,97961,27533,27715,712,8367,26745,12661,1936,56319,..,11633,22291,6846,322,3901,1395,1048,733
,Tangible fixed assets (NOK million),70408,3340225,941033,163251,266205,13511,156575,90622,402032,26640,83469,..,931368,40336,93362,3900,24993,16448,5744,10329
,Financial fixed assets (NOK million),98499,6717654,1272807,818257,513810,12027,278972,388370,399208,42988,593416,..,1369489,272992,235760,4722,40469,11504,9376,354990
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",78364,5123284,975100,639569,376548,8608,182869,317054,301731,30558,504666,..,985378,203172,183335,3447,28175,8242,6568,289898
,"Loans to group companies, associated companies and joint ventures (NOK million)",14283,1098546,236733,154726,85262,2545,58954,49318,62362,9423,69863,..,232714,38943,37555,632,8274,1803,1921,33236
,Current assets (NOK million),112647,3705318,517093,467675,143315,12911,434089,539822,238863,42572,203244,..,509472,208393,108447,6801,36449,17597,10621,95308
,Inventories (NOK million),33251,505472,40199,93660,1348,886,115234,160697,5985,1833,4460,..,32682,5051,2189,171,636,607,785,5797
,Debitors (NOK million),43463,1981781,347365,281538,91356,7940,216124,255810,137102,22354,137073,..,208178,116059,66605,2572,15760,5423,2539,24520
,Accounts receivables (NOK million),12827,684704,88895,122387,23673,3947,119415,115743,47538,3932,43383,..,17924,53300,24376,1055,3361,1305,907,735
,Investments (NOK million),8305,448292,:,17753,10044,437,19140,42902,30790,7810,10999,..,140420,26932,7207,590,5559,1361,2921,:
,Cash and bank deposits etc (NOK million),27627,769774,:,74724,40566,3649,83591,80414,64986,10575,50712,..,128193,60350,32446,3468,14493,10207,4376,:
,Total assets (NOK million),324860,14114624,2828894,1476716,951046,39160,878002,1045560,1052764,114136,936449,..,2821961,544012,444414,15745,105811,46944,26789,461361
,Equity (NOK million),160681,6786436,1126418,777223,500413,15703,324788,492938,435068,43142,521041,..,1466596,290098,211460,7246,47165,19167,12868,334423
,Invested equity (NOK million),72494,4173691,562384,473681,347223,8849,164949,215068,350527,25227,363076,..,887827,223088,164998,3929,23475,14335,9134,263429
,Share capital (NOK million),15742,765898,107538,108648,93217,2175,38222,49202,93318,6203,36294,..,131580,41121,19231,840,3303,4837,1766,12660
,Share premium reserve (NOK million),50614,2868762,398090,278742,235420,3981,97627,132968,207375,12096,276056,..,646565,142545,125200,2826,9659,8323,6237,234438
,Retained earnings (NOK million),88187,2612746,564034,303541,153190,6854,159840,277870,84541,17915,157965,..,578768,67010,46462,3318,23690,4833,3734,70994
,Liabilities (NOK million),164179,7328188,1702476,699493,450633,23458,553214,552622,617696,70994,415408,..,1355365,253914,232954,8499,58646,27777,13921,126938
,Provisions (NOK million),11562,718408,509870,30838,28052,1022,12608,12098,30184,1703,19381,..,36317,8158,13450,90,1169,532,179,1194
,Other long-term liabilities (NOK million),96973,3617245,602021,265227,270429,11697,249277,143429,359696,38577,194818,..,1010274,100599,124813,3867,32448,12219,6141,94739
,Liabilities to financial institutions (NOK million),58270,1451363,88652,65661,78638,8431,145168,47639,195100,19512,25857,..,561054,39276,50565,2122,16618,6327,3835,38638
,Long-term liabilities to group companies (NOK million),15165,1191681,245726,119317,108350,2151,64516,56631,80497,9586,78129,..,293786,31290,43065,963,5229,1853,726,34699
,Short-term liabilities (NOK million),55643,2992534,590585,403428,152152,10739,291328,397095,227816,30714,201209,..,308775,145156,94691,4541,25029,15025,7601,31005
,Trade creditors (NOK million),10357,483940,64799,81551,16210,2842,59374,129511,35267,5204,23838,..,15124,21417,12565,652,2058,1497,703,972
,Short-term liabilities to group companies (NOK million),21116,1065141,258461,153462,39762,2780,65820,97463,74109,9986,77097,..,159632,42276,35069,889,9724,2613,2414,12470
,Total equity and liabilities (NOK million),324860,14114624,2828894,1476716,951046,39160,878002,1045560,1052764,114136,936449,..,2821961,544012,444414,15745,105811,46944,26789,461361
,Number of enterprises,4935,293422,1300,12937,1596,840,44796,42655,9698,9845,15216,..,59253,37709,13033,4105,9892,5217,4901,15494
2020,Fixed assets (NOK million),260117,10925735,2293841,1005317,888789,30274,448119,565494,839080,72588,766135,..,2496614,352334,305494,8988,75675,30052,15755,471069
,Intangible fixed assets (NOK million),53470,374473,90698,31504,28889,740,8602,28549,15260,1916,64193,..,12831,22151,6978,479,4708,1391,507,1606
,Tangible fixed assets (NOK million),82697,3456897,971241,159924,283680,15288,128651,94985,386369,27000,91200,..,1010092,38636,97201,3596,22766,17299,5927,20343
,Financial fixed assets (NOK million),123950,7094364,1231901,813889,576220,14246,310866,441960,437450,43672,610743,..,1473691,291546,201314,4912,48201,11362,9321,449121
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",100866,5351113,932699,645840,418946,9993,209853,371241,315013,30275,512997,..,1023708,221457,154579,3297,30433,7413,6143,356361
,"Loans to group companies, associated companies and joint ventures (NOK million)",15636,1181423,:,143938,91949,3312,65178,47069,81801,10042,77112,..,282215,37807,33645,:,11941,2235,2314,40241
,Current assets (NOK million),123032,4033021,528054,519082,132398,14750,443387,611020,218413,41598,267109,..,598216,244831,112720,7442,40400,19539,12817,98212
,Inventories (NOK million),37298,515729,39841,93248,1114,902,116218,159509,4618,1759,3697,..,40694,5694,2237,134,699,556,837,6676
,Debitors (NOK million),46651,2067094,307600,306036,79836,8767,212198,294837,109248,19947,171596,..,251420,125741,73896,2872,17203,5779,2315,31150
,Accounts receivables (NOK million),11745,660099,76019,132392,19251,4159,114799,114708,37868,2735,45473,..,21505,47382,23570,956,3296,1243,890,2108
,Investments (NOK million),10024,521766,:,22526,7592,429,20863,48039,34238,9023,14123,..,162529,32215,7196,:,6157,1699,5079,33443
,Cash and bank deposits etc (NOK million),29059,928432,:,97272,43856,4652,94108,108635,70309,10869,77692,..,143572,81182,29392,:,16342,11505,4586,26943
,Total assets (NOK million),383149,14958756,2821895,1524400,1021187,45024,891507,1176513,1057493,114186,1033244,..,3094830,597165,418214,16430,116075,49591,28572,569281
,Equity (NOK million),198054,7138817,1078051,783948,539810,17521,346496,586855,447578,48459,528973,..,1556343,327988,186776,7630,51404,19437,14088,399407
,Invested equity (NOK million),92686,4526623,595859,492989,387633,9914,179421,262873,398875,29051,386531,..,913523,265067,141755,3907,24125,15224,8263,318928
,Share capital (NOK million),16876,767021,111139,108244,95632,2618,36327,50169,82516,5964,32370,..,133957,34471,19667,836,3206,4951,1624,26454
,Share premium reserve (NOK million),68114,3097995,399996,292544,272872,4490,114474,177209,252291,13120,269206,..,658602,181065,97260,2757,14625,8468,5326,265577
,Retained earnings (NOK million),105368,2612193,482192,290959,152177,7607,167074,323982,48703,19408,142442,..,642820,62921,45021,3723,27279,4213,5825,80480
