"08120: Profit/loss statement for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Number of enterprises,3631,245750,1190,11895,1428,698,35515,39752,9060,8067,11667,..,59988,30525,10859,3087,7961,3676,3811,2940
2016,Operating income (NOK million),96716,4997377,765309,720232,117739,24467,487225,1445123,369455,74124,239512,..,153286,197786,164692,11677,62690,50922,15171,1250
,Revenue (NOK million),91104,4633538,706130,715756,109146,23576,461654,1434691,307761,70128,222278,..,38034,188054,149512,9969,42217,48605,14076,847
,Operating expences (NOK million),67612,4620349,688151,685653,88923,23589,456874,1391792,355639,72651,216951,..,96969,189996,157169,11185,56935,44902,14225,1132
,Raw materials and consumables used (NOK million),30401,2341436,336674,394059,47681,8624,173978,1079684,76494,17643,64144,..,12926,40234,47200,908,4348,3574,2616,247
,Payroll expence (NOK million),13384,872285,70098,133430,11539,5191,113103,148005,80434,27450,70512,..,15672,80100,52918,5490,32472,5620,6742,124
,Depreciation and write down of tangible and intangible fixed assets (NOK million),5322,317376,146519,20034,9626,1665,8036,13300,49260,2469,13835,..,23069,7728,11868,474,1930,1325,666,250
,Operating profit (NOK million),29104,377028,77157,34579,28817,878,30351,53331,13816,1474,22561,..,56317,7790,7523,492,5755,6020,946,118
,"Income from subsidiaries, other group entities and from associates (NOK million)",2920,94620,-30964,40544,12269,44,6363,12742,15709,555,4676,..,23189,3172,1728,142,659,257,144,471
,Interest income (NOK million),1013,65693,11719,7604,3339,332,2623,3967,5678,443,11511,..,10064,2935,3789,59,263,98,75,179
,Interest expence (NOK million),2606,142423,28430,13663,8284,935,7539,8333,17583,1177,7353,..,33112,4647,6660,139,999,336,188,439
,Write-down of financial assets (NOK million),552,127553,17685,17124,8259,41,1322,2501,38057,694,17631,..,6784,10847,5104,111,264,148,36,393
,"Financial items, net (NOK million)",10904,191542,-24462,52599,10344,149,15074,30914,-13750,2205,29600,..,64630,6953,965,210,2550,70,722,1866
,Profit before tax (NOK million),40008,568570,52695,87178,39161,1027,45425,84245,66,3678,52161,..,120947,14743,8488,702,8304,6090,1668,1983
,Ekstraordinary items (NOK million),72,-4247,4,-82,12,5,0,-11,-3132,-6,3,..,8,-1090,-29,3,-6,1,0,-1
,Tax (NOK million),8462,145936,47783,14582,13702,226,8082,13617,10520,657,6817,..,12440,4082,2979,199,1561,320,286,-379
,Net profit (NOK million),31620,416107,4907,73770,25237,832,37491,66967,-13122,3018,45005,..,108513,9634,5474,505,6740,5771,1382,2361
