years,Industries,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Financial items, net ",Net profit ,Fixed assets,Current assets,Cash and bank deposits etc,Total assets,Equity,Liabilities,Short-term liabilities,Number of enterprises
2018,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1543129,1501429,1166103,158260,15042,43416,30160,62311,497125,528232,78438,1025356,478546,546810,396673,43502
2018,Transportation and storage,352911,392446,95814,78246,33672,14054,20164,26653,863311,236434,59948,1099744,467072,632673,227854,9796
2018,Accommodation and food service activities,79019,81732,19342,30639,2889,1096,2491,2979,73516,38753,10078,112268,47106,65163,28696,9785
2018,Information and communication,237524,229801,65946,75944,15643,21140,110656,120872,647540,212913,62992,860453,491593,368860,227225,14786
2018,Real estate activities,46545,112608,21134,17152,23468,59596,63802,109790,2162787,472181,124531,2634968,1355628,1279340,303360,57911
2018,"Professional, scientific and technical activities",215516,215936,47318,88722,8207,10249,16873,23024,309251,192804,54231,502055,270762,231293,130846,36853
2018,Administrative and support service activities,171223,176466,55337,63204,11040,10409,3240,10749,275856,103020,27494,378876,165305,213572,93222,12830
2018,Education,11251,12808,1054,6302,538,695,272,760,8072,6315,3042,14387,6341,8046,4514,4015
2018,Human health and social work activities,44937,61674,4526,35792,2120,5412,1639,5652,66990,36085,14478,103075,43217,59857,25492,9555
2018,"Arts, entertainment and recreation",57063,53363,4012,6386,1351,6652,764,7011,26411,16716,9743,43127,17210,25916,14573,4962
2018,Other service activities,15115,15175,2668,7496,673,909,722,1375,16494,8799,3141,25293,12828,12465,6707,4783
2018,Unspecified,1895,2825,399,306,215,1430,12877,14082,189245,57075,14826,246320,172550,73770,20848,9009
2019,"Agriculture, forestry and fishing",126825,106095,53457,17722,7557,26129,13508,33132,212214,112647,27627,324860,160681,164179,55643,4935
2019,Mining and quarrying,1056134,910865,546309,74239,134694,252069,26887,132312,2311801,517093,0,2828894,1126418,1702476,590585,1300
2019,Manufacturing,804052,782141,451640,145094,28682,24111,53138,64969,1009041,467675,74724,1476716,777223,699493,403428,12937
2019,"Electricity, gas and steam",146597,117471,70698,11682,10221,38062,52407,73206,807731,143315,40566,951046,500413,450633,152152,1596
2019,"Water supply, sewerage, waste",32745,32330,15113,6069,1695,1219,512,1476,26250,12911,3649,39160,15703,23458,10739,840
2019,Construction,576241,572149,206951,142068,10245,34017,28524,53964,443914,434089,83591,878002,324788,553214,291328,44796
2019,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1593942,1551592,1205691,162007,17173,42250,32715,62873,505737,539822,80414,1045560,492938,552622,397095,42655
