years,Industries,Operating income ,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Income from subsidiaries, other group entities and from associates ",Interest income ,Interest expence ,Write-down of financial assets ,"Financial items, net ",Profit before tax ,Tax ,Net profit ,Number of enterprises
2021,Education,12219,11134,11224,1070,5117,519,995,148,38,128,27,912,1907,318,1590,4409
2021,Human health and social work activities,76066,52072,69133,4872,39205,2351,6933,6190,718,1410,227,12213,19146,1794,17329,10841
2021,"Arts, entertainment and recreation",65366,61475,57985,3658,6251,1720,7381,480,155,492,174,1998,9379,361,9017,5756
2021,Other service activities,18662,16965,16653,3027,8137,777,2009,0,112,315,705,1219,3228,253,2977,5442
2021,Unspecified,12893,7208,8658,3557,792,679,4235,29390,2081,4718,4987,75073,79308,1321,78048,26805
2022,"Agriculture, forestry and fishing",200224,188418,158093,81534,24421,11689,42131,13797,2734,5986,6813,21703,63834,10624,53222,5874
2022,Mining and quarrying,2409354,2343017,1228054,776905,90104,149623,1181299,0,32609,33571,2462,0,1313264,892966,419761,1275
2022,Manufacturing,992036,969994,907511,557349,160153,11995,84525,68980,10409,16392,3626,114113,198639,25212,173467,13388
2022,"Electricity, gas and steam",368112,345812,245677,171302,15917,12980,122435,34908,8959,13293,3984,42826,165260,78317,86669,1754
2022,"Water supply, sewerage, waste",46283,45250,43404,21319,7445,2094,2879,0,343,758,47,0,5369,643,4726,910
2022,Construction,707325,680490,674347,249667,164670,12423,32977,12622,6215,13179,5312,31873,64851,9268,55751,48222
2022,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2049626,2043604,1983481,1575332,187446,18646,66145,22723,6521,11210,13561,27065,93210,18779,74405,44609
2022,Transportation and storage,544672,494659,490390,119309,89972,28740,54283,19936,8931,22046,3118,34368,88650,9784,79326,10163
2022,Accommodation and food service activities,109365,102710,105318,24924,39005,3281,4047,2744,1054,1992,1023,4785,8832,1295,7616,11254
2022,Information and communication,347830,318031,326178,90406,103533,28306,21651,28652,8631,13676,39814,-5712,15939,1359,14708,18400
2022,Real estate activities,222753,70861,158781,33137,22572,32720,63972,41394,21198,53160,19691,91367,155339,16374,138984,72260
2022,"Professional, scientific and technical activities",288596,275839,272764,51827,116470,10197,15833,10390,4896,8119,15175,34325,50158,6519,43633,42932
2022,Administrative and support service activities,226650,206509,207165,53198,77645,15199,19485,3034,3353,8126,5525,890,20374,3569,16928,14360
2022,Education,13135,12054,12538,1152,5710,613,597,153,54,129,83,371,968,207,762,4614
2022,Human health and social work activities,81324,56875,75384,5340,42291,2409,5939,1367,1220,2017,819,2629,8569,1657,6937,11302
2022,"Arts, entertainment and recreation",77192,73011,68476,5329,8095,1921,8716,677,215,665,801,450,9166,709,8457,6102
2022,Other service activities,19649,18949,18562,3188,9070,805,1087,244,154,394,185,235,1322,249,1077,5630
2022,Unspecified,13763,8265,12836,3593,1202,1050,927,4263,3622,6292,11132,44146,45073,542,44544,33403
2023,"Agriculture, forestry and fishing",275749,265459,233508,140088,26379,11767,42241,7204,7505,12620,1993,20558,62800,13654,49146,6150
2023,Mining and quarrying,1950206,1859323,1217517,749782,99528,175812,732690,30412,60739,55773,4003,339587,1072276,547940,524336,1297
2023,Manufacturing,1036112,1017993,987653,591340,172599,37032,48459,114589,22622,29362,18123,151852,200311,16766,183545,13558
2023,"Electricity, gas and steam",273990,251548,188482,118449,17389,13944,85508,33259,16778,22903,102,34495,120002,51278,68725,1845
2023,"Water supply, sewerage, waste",47163,46099,44758,21075,8110,2197,2405,262,648,1261,200,505,2910,533,2376,915
2023,Construction,710937,686950,683920,240941,176044,13670,27018,10057,11788,20682,10246,21917,48935,8017,40917,48315
2023,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2117930,2095207,2065692,1624092,199542,21634,52238,19589,13269,20251,9827,36617,88855,15259,73596,45367
2023,Transportation and storage,567936,491294,505125,133119,97283,32943,62811,32883,20619,39138,7096,38415,101226,9357,91869,10313
2023,Accommodation and food service activities,118662,112876,115302,27619,42623,3655,3360,2856,1852,3051,1182,4675,8036,1496,6540,11770
2023,Information and communication,392586,360879,372511,112045,113769,29149,20076,93506,17200,23945,9309,104672,124747,8513,116235,19665
2023,Real estate activities,227173,62609,159650,26644,23384,38294,67523,33360,36343,84197,37489,52201,119724,14821,104903,75976
2023,"Professional, scientific and technical activities",322343,305105,307347,58181,128549,11252,14995,12659,10361,12607,15950,23894,38889,7445,31444,45085
2023,Administrative and support service activities,244976,224489,225455,61323,78741,17024,19521,3265,5954,11723,3451,2099,21620,2839,18781,14700
2023,Education,13789,12545,13130,1054,5992,621,659,119,106,237,157,227,886,217,669,4892
2023,Human health and social work activities,89530,62220,83524,5799,47010,2454,6007,1099,2463,3491,515,3045,9052,1890,7161,12152
2023,"Arts, entertainment and recreation",81754,77569,72633,5355,8660,2046,9121,421,564,1052,1015,1270,10391,644,9747,6316
2023,Other service activities,21708,20765,20339,3976,9740,845,1369,101,370,597,460,207,1576,334,1242,5869
2023,Unspecified,9809,6768,10470,3168,1251,367,-661,5159,4404,5928,27470,13083,12422,946,11476,38456
2024,"Agriculture, forestry and fishing",277445,268585,251166,160810,27075,12690,26279,17164,8585,14960,2369,18147,44426,6112,38314,6036
2024,Mining and quarrying,1839911,1816265,1215547,796911,59152,180343,624364,130279,45635,29532,1473,126295,750659,462229,288430,1173
2024,Manufacturing,1039804,1019152,982508,609261,178588,29257,57296,93731,22054,28005,6709,87516,144813,17524,127287,12877
2024,"Electricity, gas and steam",221720,203840,160549,92430,18329,14305,61170,39756,12741,19583,5183,20638,81809,33724,48084,1764
2024,"Water supply, sewerage, waste",47891,46901,46123,25023,8428,2383,1767,830,764,1423,72,179,1946,407,1539,887
2024,Construction,690177,666332,659886,361203,177195,13442,30291,23766,12801,20346,9890,18814,49105,8101,40998,45976
2024,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2070988,2020930,2000420,1563386,192831,21887,70567,35313,9902,15151,9845,33252,103819,14674,89137,42807
2024,Transportation and storage,526455,464322,465177,166811,105261,34171,61278,50036,15253,26878,7579,65218,126496,7929,118568,9888
2024,Accommodation and food service activities,124393,109646,119509,28902,44285,3761,4884,4197,1741,3126,854,3230,8114,1464,6648,11321
2024,Information and communication,409660,356196,388060,147704,112788,33005,21600,75494,11880,18339,9500,110186,131786,8781,123002,19606
2024,Real estate activities,249673,121255,162657,31748,23873,35177,87015,60759,39528,87323,11169,67573,154589,16405,138155,74660
2024,"Professional, scientific and technical activities",329408,318968,313751,91235,133731,11895,15657,14868,6785,9169,14666,9919,25576,5422,20145,44472
2024,Administrative and support service activities,243446,221523,224559,73815,79616,18596,18887,9276,5768,10453,1348,9755,28642,3702,24939,14373
2024,Education,21289,17106,20333,2477,10486,896,956,410,183,300,48,835,1791,255,1535,5100
2024,Human health and social work activities,95667,77475,88395,11773,52054,2378,7272,3098,2995,4085,691,3632,10904,1979,8923,12281
2024,"Arts, entertainment and recreation",88631,82471,77959,8605,9218,2196,10672,890,628,1160,797,1604,12276,657,11619,6327
2024,Other service activities,21682,20759,20296,4144,9969,885,1386,5782,388,517,281,7501,8887,368,8519,5842
2024,Unspecified,21955,14735,18474,7610,1921,1201,3480,20443,7146,8576,30299,22777,26257,2702,23549,43040
